#,Sortie-Nr.,Date,Scale,Image,Amount,Pairs
,,,[CA. 1 : X],,,
1,23-193M,2/11/1943,15.000,4048-4050,3,2
2,60-0317,13/4/1944,14.000,4042,1,-
3,682-0085SM,19/5/1944,15.000,3075,1,-
4,683-0390,24/6/1944,8.500,4033-4034,2,1
5,15SG-0532,26/6/1944,14.000,4060-4061,2,1
6,683-0435P,2/7/1944,15.000,4037-4038,2,1
7,15SG-0558,8/7/1944,15.000,4104,1,-
8,60-0646,9/8/1944,9.000,4132,1,-
9,682-0615,21/10/1944,9.500,3027-3028,2,1
10,15SG-0942,11/12/1944,12.000,4023,1,-
11,15SG-1014,25/12/1944,12.000,3128-3129,2,1
12,15SG-1045,4/1/1945,45.000,5023-5024,2,1
13,15SG-1046,5/1/1945,48.000,5023,1,-
14,15SG-1162,7/2/1945,12.000,3023,1,-
15,15SG-1200,16/2/1945,12.000,4069-4070,2,1
16,60-1029,25/2/1945,52.000,7009,1,-
17,15SG-1260,28/2/1945,50.000,5010-5011,2,1
18,15SG-1326,16/3/1945,13.000,3119-3120,2,1
19,15SG-1352,20/3/1945,5.500,3029-3030,2,1
20,15SG-1358,22/3/1945,13.000,3123,1,-
21,15SG-1374,23/3/1945,11.000,3091,1,-
22,15SG-1419,1/4/1945,38.000,5019,1,-
23,15SG-1424,2/4/1945,50.000,5022,1,-
24,15SG-1440,5/4/1945,30.000,5047,1,-
25,15SG-1458,8/4/1945,49.000,5028,1,-
26,680-0197,9/4/1945,17.000,3166-3167,2,1
27,37-0294,18/4/1945,52.000,5036,1,-
