#,Sortie-Nr.,Date,Scale,Image,Amount,Pairs
,,,[CA. 1 : X],,,
1,60-0088,2/11/1943,17.000,3152-3153,2,1
2,15SG-0372,12/4/1944,13.000,4101-4102,2,1
3,682-NA-997,13/4/1944,8.500,4114,1,-
4,60-0379,3/5/1944,18.000,4058-4059,2,1
5,15SG-0479,30/5/1944,14.000,3039-3040,2,1
6,682-0118SM,30/5/1944,9.000,4111,1,-
7,60-0484,9/6/1944,17.000,4009,1,-
8,682-0160SM,13/6/1944,8.500,3034-3035,2,1
9,15SG-0558,8/7/1944,15.000,"3120, 4120",2,-
10,60-0639,7/8/1944,10.000,3073,1,-
11,15SG-0659,22/8/1944,14.000,3019,1,-
,,,,4019-4020,2,1
12,682-0459SM,27/8/1944,17.000,"3015, 3017",2,-
13,60-0761,30/9/1944,10.000,"3001, 4001",2,-
14,682-0615,21/10/1944,9.500,3048,1,-
15,682-0735,11/12/1944,6.000,3306,1,-
16,15SG-1014,25/12/1944,12.000,4142-4143,2,1
17,15SG-1046,5/1/1945,12.000,3033,1,-
18,15SG-1220,19/2/1945,13.000,3109-3110,2,1
19,15SG-1227,20/2/1945,46.000,5042,1,-
20,15SG-1252,27/2/1945,13.000,3023,1,-
21,60-1069,15/3/1945,8.000,4179-4180,2,1
22,15SG-1351,20/3/1945,11.000,3069-3070,2,1
23,680-0179,21/3/1945,15.000,4054-4057,4,3
24,15SG-1358,22/3/1945,13.000,3102-3103,2,1
25,15SG-1361,22/3/1945,13.000,3185-3186,2,1
26,15SG-1370,23/3/1945,12.000,4177-4179,3,2
27,15SG-1388,25/3/1945,54.000,5058,1,-
28,680-0191AWD,5/4/1945,56.000,7007,1,-
29,15SG-1458,8/4/1945,49.000,5030,1,-
