Sortie,Spot,Bildnr,Datum,MASSTAB,QU,Acc,Form,Abd,LBDB,Quelle,x,y,Radius_Bild,EPSG-Code,flughohe
E-264,F-05403,1150,09/24/1943,"24,000",,1,23,38,Nein,Plot,76001,167740,2640,31255,28000
E-264,F-05403,1151,09/24/1943,"24,000",,1,23,86,Nein,Plot,75902,166632,2640,31255,28000
E-264,F-05403,1152,09/24/1943,"24,000",,,23,82,Ja,BM,76183,166402,2760,31255,28000
E-264,F-05403,1153,09/24/1943,"24,000",,,23,100,Ja,BM,75589,165288,2760,31255,28000
E-264,F-05403,1154,09/24/1943,"24,000",,1,23,71,Nein,Plot,75602,163309,2640,31255,28000
E-264,F-05403,2152,09/24/1943,"24,000",,1,23,57,Nein,Plot,72597,166786,2640,31255,28000
E-264,F-05403,2153,09/24/1943,"24,000",,1,23,74,Nein,Plot,72486,165863,2640,31255,28000
E-264,F-05403,2154,09/24/1943,"24,000",,1,23,71,Nein,Plot,72375,164940,2640,31255,28000
E-264,F-05403,2155,09/24/1943,"24,000",,1,23,51,Nein,Plot,72265,164017,2640,31255,28000
E-264,F-05403,3153,09/24/1943,"9,000",,1,21,34,Nein,Plot,74770,163974,990,31255,28000
E-264,F-05403,3154,09/24/1943,"9,000",,1,21,71,Nein,Plot,74872,164802,990,31255,28000
E-264,F-05403,3155,09/24/1943,"9,000",,1,21,71,Nein,Plot,74973,165630,990,31255,28000
E-264,F-05403,3156,09/24/1943,"9,000",,1,21,34,Nein,Plot,75075,166459,990,31255,28000
15SG-0240,ACIU,5007,01/23/1944,"52,000",1,1,23,100,Nein,Plot,77037,168584,5720,31255,26000
15SG-0240,ACIU,5008,01/23/1944,"52,000",1,1,23,100,Nein,Plot,74364,167800,5720,31255,26000
15SG-0240,ACIU,5009,01/23/1944,"52,000",1,1,23,100,Nein,Plot,75085,165544,5720,31255,26000
15SG-0240,ACIU,5010,01/23/1944,"52,000",1,1,23,100,Nein,Plot,74194,163901,5720,31255,26000
15SG-0254,Jaric,3049,01/31/1944,"13,000",1,1,23,81,Nein,Plot,75270,165611,1430,31255,26000
15SG-0254,Jaric,3050,01/31/1944,"13,000",1,1,23,70,Nein,Plot,74967,164328,1430,31255,26000
15SG-0254,Jaric,5012,01/31/1944,"52,000",1,1,23,100,Nein,Plot,74783,167593,5720,31255,26000
NA-870,ACIU,3084,02/05/1944,"7,000",1,,,38,Ja,BM,75362,164678,770,31255,21000
NA-870,ACIU,3085,02/05/1944,"7,000",1,,,52,Ja,BM,74720,164569,770,31255,21000
NA-870,ACIU,4088,02/05/1944,"7,000",,1,21,33,Nein,Plot,75643,165465,770,31255,21000
