Sortie,Spot,Bildnr,Datum,MASSTAB,QU,Acc,BLänder,Abd,LBDB,Quelle,x,y,Radius_Bild,EPSGCode,xWGS84,yWGS84,flughohe
TU-GX-01947,6,777,01/01/1942,"15,000",2,,nein,2,Ja,BM,-87673,388235,1650,31256,15.142797339,48.6260019336,
TU-GX-01947,6,778,01/01/1942,"15,000",2,,nein,0,Ja,BM,-86588,388414,1650,31256,15.1574788241,48.6277585278,
TU-GX-01947,6,820,01/01/1942,"15,000",2,,nein,3,Ja,BM,-82266,386071,1650,31256,15.2165547113,48.6072785797,
TU-GX-01947,6,821,01/01/1942,"15,000",2,,nein,3,Ja,BM,-83091,386256,1650,31256,15.2053418007,48.6088328253,
TU-GX-01947,6,822,01/01/1942,"15,000",2,,nein,2,Ja,BM,-83985,386261,1650,31256,15.1932114588,48.6087564807,
TU-GX-01947,6,823,01/01/1942,"15,000",2,,nein,0,Ja,BM,-84792,386365,1650,31256,15.1822500837,48.6095819336,
TU-GX-01947,6,825,01/01/1942,"15,000",2,,nein,9,Ja,BM,-86565,386520,1650,31256,15.1581790198,48.6107310499,
60-0735,Jaric,3281,09/13/1944,"9,000",1,1,nein,7,Nein,Plot,-82450,384427,990,31256,15.2143932385,48.592471259,28000
60-0735,Jaric,3282,09/13/1944,"9,000",1,1,nein,6,Nein,Plot,-81781,384389,990,31256,15.2234615134,48.5922174604,28000
60-0735,Jaric,3283,09/13/1944,"9,000",1,1,nein,2,Nein,Plot,-81113,384351,990,31256,15.2325296619,48.5919629487,28000
60-0735,Jaric,4302,09/13/1944,"9,000",1,1,nein,7,Nein,Plot,-81595,382973,990,31256,15.2262582447,48.5795108626,28000
60-0735,Jaric,4303,09/13/1944,"9,000",1,1,nein,5,Nein,Plot,-80414,382853,990,31256,15.2422897025,48.5785923003,28000
60-0735,Jaric,4309,09/13/1944,"9,000",1,1,nein,3,Nein,Plot,-73329,382133,990,31256,15.3384202873,48.572990557,28000
60-0735,Jaric,4310,09/13/1944,"9,000",1,1,nein,0,Nein,Plot,-72148,382011,990,31256,15.3544450578,48.5720295181,28000
680-0018,Jaric,3139,09/19/1944,"9,000",1,,nein,1,Ja,BM,-84672,385629,990,31256,15.1840320917,48.6029847239,28000
680-0018,Jaric,7018,09/19/1944,"56,000",1,1,nein,42,Nein,Plot,-83610,387523,6160,31256,15.1980417094,48.620153064,28000
680-0026,Jaric,3001,09/30/1944,"9,000",1,,nein,8,Ja,BM,-85709,384222,990,31256,15.1702654234,48.5901882579,27000
680-0026,Jaric,3002,09/30/1944,"9,000",1,,nein,8,Ja,BM,-86062,384709,990,31256,15.1653708747,48.5945234306,27000
680-0026,Jaric,3003,09/30/1944,"9,000",1,,nein,5,Ja,BM,-86117,385143,990,31256,15.1645429557,48.5984137833,27000
680-0026,Jaric,3004,09/30/1944,"9,000",1,,nein,1,Ja,BM,-86208,385688,990,31256,15.1631945337,48.6033078205,27000
680-0026,Jaric,3005,09/30/1944,"9,000",1,,nein,0,Ja,BM,-86365,386100,990,31256,15.1609831397,48.6069843376,27000
680-0026,Jaric,3006,09/30/1944,"9,000",1,,nein,1,Ja,BM,-86517,386457,990,31256,15.1588494779,48.61017298,27000
680-0026,Jaric,3007,09/30/1944,"9,000",1,,nein,0,Ja,BM,-86543,387005,990,31256,15.1583838128,48.6150966693,27000
680-0026,Jaric,3008,09/30/1944,"9,000",1,,nein,0,Ja,BM,-86760,387420,990,31256,15.1553454895,48.6187957692,27000
680-0026,Jaric,3009,09/30/1944,"9,000",1,,nein,0,Ja,BM,-86990,387796,990,31256,15.1521494621,48.6221483278,27000
680-0026,Jaric,4001,09/30/1944,"9,000",1,,nein,8,Ja,BM,-84339,384577,990,31256,15.1887550173,48.5935716905,27000
680-0026,Jaric,4002,09/30/1944,"9,000",1,,nein,5,Ja,BM,-84601,385064,990,31256,15.1851099782,48.5979180341,27000
680-0026,Jaric,4003,09/30/1944,"9,000",1,,nein,1,Ja,BM,-84740,385553,990,31256,15.1831204643,48.602290407,27000
680-0026,Jaric,7001,09/30/1944,"54,000",1,1,nein,33,Nein,Plot,-86012,387707,5940,31256,15.1654305793,48.6214868157,27000
680-0026,Jaric,7002,09/30/1944,"54,000",1,1,nein,34,Nein,Plot,-85972,387577,5940,31256,15.1659951459,48.620320005,27000
680-0026,Jaric,7003,09/30/1944,"54,000",1,1,nein,21,Nein,Plot,-86111,390073,5940,31256,15.1635999611,48.6427457605,27000
680-0061,Jaric,7035,11/19/1944,"59,000",1,1,nein,15,Ja,Plot,-88648,390047,6490,31256,15.1291844869,48.6421489832,30000
15SG-1144,F-14932,3020,02/02/1945,"11,992",3,1,nein,1,Ja,Plot,-88488,384557,1319.12,31256,15.1325329257,48.5928141045,24000
15SG-1144,F-14932,3021,02/02/1945,"12,000",2,,nein,10,Ja,BM,-87818,385838,1320,31256,15.141334911,48.6044285636,24000
15SG-1144,F-14932,4019,02/02/1945,"12,000",2,,nein,3,Ja,BM,-86730,383350,1320,31256,15.1566028292,48.5822082851,24000
15SG-1144,F-14932,4020,02/02/1945,"11,992",3,1,nein,5,Nein,Plot,-86369,383405,1319.12,31256,15.1614901832,48.5827576148,24000
15SG-1144,F-14932,4021,02/02/1945,"11,992",3,1,nein,11,Nein,Plot,-85805,384384,1319.12,31256,15.1689325236,48.5916371048,24000
60-0979,Jaric,3059,02/04/1945,"15,000",2,,nein,5,Ja,BM,-88904,386685,1650,31256,15.1264301199,48.6118861761,25000
60-0979,Jaric,3060,02/04/1945,"15,000",2,,nein,8,Ja,BM,-87860,386637,1650,31256,15.140600729,48.6116080842,25000
60-0979,Jaric,3061,02/04/1945,"15,000",2,,nein,9,Ja,BM,-87025,386696,1650,31256,15.1519124468,48.6122520824,25000
60-0979,Jaric,3062,02/04/1945,"15,000",2,,nein,4,Ja,BM,-86064,386569,1650,31256,15.1649659545,48.6112460648,25000
60-0979,Jaric,4059,02/04/1945,"15,000",2,,nein,1,Ja,BM,-88723,384418,1650,31256,15.1293758606,48.5915329072,25000
60-0979,Jaric,4060,02/04/1945,"15,000",2,,nein,10,Ja,BM,-87575,384503,1650,31256,15.1449171336,48.5924581647,25000
60-0979,Jaric,4061,02/04/1945,"15,000",2,,nein,13,Ja,BM,-86754,384513,1650,31256,15.1560347283,48.5926663174,25000
60-0979,Jaric,4062,02/04/1945,"15,000",2,,nein,13,Ja,BM,-85737,384357,1650,31256,15.1698535189,48.5914048554,25000
60-0979,Jaric,4063,02/04/1945,"15,000",2,,nein,14,Ja,BM,-84659,384637,1650,31256,15.184406775,48.5940699249,25000
60-0979,Jaric,4064,02/04/1945,"15,000",2,,nein,13,Ja,BM,-83891,384600,1650,31256,15.1948190133,48.5938351393,25000
60-0979,Jaric,4065,02/04/1945,"15,000",2,,nein,13,Ja,BM,-83292,384552,1650,31256,15.2029593522,48.5934828122,25000
60-0979,Jaric,4066,02/04/1945,"15,000",2,,nein,9,Ja,BM,-82487,385259,1650,31256,15.2137289668,48.5999461837,25000
60-0979,Jaric,4067,02/04/1945,"15,000",2,,nein,8,Ja,BM,-81855,385207,1650,31256,15.2223021175,48.5995624081,25000
60-0979,Jaric,4068,02/04/1945,"15,000",2,,nein,6,Ja,BM,-81047,385042,1650,31256,15.2332796353,48.5981840003,25000
60-0979,Jaric,7079,02/04/1945,"50,000",3,1,nein,0,Nein,Plot,-84710,391833,5500,31256,15.1822388166,48.6587542421,25000
60-0979,Jaric,7080,02/04/1945,"50,000",3,1,nein,6,Nein,Plot,-87580,391103,5500,31256,15.1434519122,48.6517976357,25000
60-0979,Jaric,7081,02/04/1945,"50,000",3,1,nein,6,Nein,Plot,-90450,390372,5500,31256,15.1046610165,48.6448191077,25000
60-0979,Jaric,7083,02/04/1945,"50,000",3,1,nein,8,Nein,Plot,-92537,386663,5500,31256,15.0771763891,48.6111636098,25000
60-0979,Jaric,7084,02/04/1945,"50,000",3,1,nein,22,Nein,Plot,-89121,386815,5500,31256,15.1234623218,48.6130281268,25000
60-0979,Jaric,7085,02/04/1945,"50,000",3,1,nein,34,Nein,Plot,-85705,386968,5500,31256,15.1697513232,48.6148829228,25000
60-0979,Jaric,7086,02/04/1945,"50,000",3,1,nein,41,Nein,Plot,-82289,387120,5500,31256,15.2160422291,48.6167100369,25000
60-0979,Jaric,7087,02/04/1945,"50,000",3,1,nein,15,Nein,Plot,-78873,387272,5500,31256,15.2623355469,48.6185184454,25000
60-0979,Jaric,7088,02/04/1945,"50,000",3,1,nein,2,Nein,Plot,-73543,386883,5500,31256,15.3346850654,48.6156701064,25000
60-1079,G-02464,7058,03/20/1945,"46,622",4,1,nein,1,Nein,Plot,-92560,384743,5128.42,31256,15.0772927553,48.5939005308,25000
60-1079,G-02464,7059,03/20/1945,"46,622",4,1,nein,1,Nein,Plot,-90777,381359,5128.42,31256,15.1022100039,48.5637388774,25000
60-1122,Jaric,3079,04/08/1945,"9,000",2,,nein,0,Ja,BM,-88875,386886,990,31256,15.126786546,48.6137023293,27000
