#,Sortie-Nr.,Date,Scale,Image,Amount,Pairs
,,,[CA. 1 : X],,,
1,23S-0193,2/11/1943,15.000,3156-3157,2,1
2,15SG-0292,23/2/1944,15.000,4092,1,-
3,J-802,3/4/1944,10.000,4080,1,-
4,60-0324,15/4/1944,16.000,4165-4166,2,1
5,682-0085SM,19/5/1944,15.000,4063-4064,2,1
6,106G-2352,19/8/1944,9.000,3220-3221,2,1
7,682-0548,26/9/1944,8.000,4143-4144,2,1
8,682-0615,21/10/1944,10.000,4041-4042,2,1
9,15SG-0803,1/11/1944,46.000,5006,1,-
10,15SG-1015,25/12/1944,46.000,5004,1,-
11,15SG-1046,5/1/1945,48.000,5019,1,-
12,15SG-1200,16/2/1945,13.000,4135-4136,2,1
13,15SG-1227,20/2/1945,12.000,"3142, 3144",2,1
14,15SG-1254,27/2/1945,11.000,3049-3050,2,1
15,15SG-1326,16/3/1945,13.000,3127-3128,2,1
16,680-0179,21/3/1945,15.000,4030-4031,2,1
17,15SG-1358,22/3/1945,13.000,4151,1,-
18,15SG-1414,31/3/1945,12.000,4065,1,-
19,37-0272,10/4/1945,46.000,5043,1,-
20,37-0294,18/4/1945,52.000,5037,1,-
