#,Sortie-Nr.,Date,Scale,Image,Amount,Pairs
,,,[CA. 1 : X],,,
1,60-0088,2/11/1943,17.000,4130-4131,2,1
2,60-0178,1/2/1944,16.000,4050-4051,2,1
3,106G-2001,7/8/1944,56.000,7023,1,-
4,682-0735,11/12/1944,6.000,4228,1,-
5,106G-4172,16/1/1945,8.000,4134,1,-
6,32-0782,19/2/1945,9.000,4176-4177,2,1
7,15SG-1254,27/2/1945,11.000,3063-3064,2,1
8,15SG-1318,15/3/1945,12.000,3036,1,-
9,680-0179,21/3/1945,15.000,4046,1,-
10,23-502M,23/3/1945,46.000,5027-5028,2,1
11,15SG-1440,5/4/1945,30.000,5067,1,-
