#,Sortie-Nr.,Date,Scale,Image,Amount,Pairs
,,,[CA. 1 : X],,,
1,E-264,24/9/1943,24.000,2069,1,-
2,60-0088,2/11/1943,17.000,3087-3088,2,1
3,60-0178,1/2/1944,16.000,4078-4079,2,1
4,15SG-0412,30/4/1944,13.000,4083-4084,2,1
5,60-0475,5/6/1944,16.000,4035-4036,2,1
6,682-0347SM,27/7/1944,9.000,3105,1,-
7,680-0026,30/9/1944,9.000,4115-4116,2,1
8,15SG-0803,1/11/1944,12.000,3030-3031,2,1
9,682-0735,11/12/1944,6.000,3205-3206,2,1
10,15SG-1200,16/2/1945,12.000,3158-3159,2,1
11,15SG-1260,28/2/1945,13.000,4032,1,-
12,15SG-1318,15/3/1945,12.000,4019,1,-
13,680-0179,21/3/1945,15.000,4040-4041,2,1
14,683-1092,2/4/1945,8.500,3210-3211,2,1
15,15SG-1440,5/4/1945,7.500,4002-4003,2,1
16,37-0272,10/4/1945,11.000,3110,1,-
17,23-009L,10/5/1945,10.000,4165-4166,2,1
